Unnamed: 0,question,numbers,equation,digit_answer,group_nums,body,ques,type,variation type,id,result
530,"While shopping for music online , Megan bought number0 country albums and number1 pop albums . Each album came with a lyric sheet and had number2 songs . How many songs did Megan buy total ?","[2,8,7]","[*,number2,+,number0,number1]",70,"[7,8,9,11,12,13,24,25,26,32,33,34]","While shopping for music online , Megan bought number0 country albums and number1 pop albums . Each album came with a lyric sheet and had number2 songs .",How many songs did Megan buy total ?,,[],1502,"Megan bought 2 country albums and 8 pop albums. Each album came with a lyric sheet and had 7 songs. To find out how many songs Megan bought in total, we need to calculate the number of songs in each type of album separately and then add them together.

First, let's calculate the number of songs in the country albums. Since Megan bought 2 country albums and each album has 7 songs, we can multiply the number of albums by the number of songs per album: $2 \times 7 = 14$.

Next, let's calculate the number of songs in the pop albums. Megan bought 8 pop albums, and each album has 7 songs. We can multiply the number of albums by the number of songs per album: $8 \times 7 = 56$.

Finally, to find the total number of songs Megan bought, we add the number of songs from the country albums to the number of songs from the pop albums: $14 + 56 = 70$.

#### Answer: The total number of songs Megan bought is 70."
531,The clown blew up number0 balloons . Then he blew up number1 more balloons . How many balloons does the clown have now ?,"[47,13]","[+,number0,number1]",60,"[3,4,5,10,11,12,20,21,22]",The clown blew up number0 balloons . Then he blew up number1 more balloons .,How many balloons does the clown have now ?,,[],1503,"To find the total number of balloons the clown has now, we need to add the number of balloons he initially had (47) with the number of additional balloons he blew up (13).

So, we can calculate it as follows:

$ 47 + 13 = 60 $

Therefore, the clown now has 60 balloons.

#### 60"
532,Benny has number0 blue marbles . Keith has number1 times more blue marbles than Benny . How many blue marbles does Keith have ?,"[6,5]","[*,number0,number1]",30,"[1,2,3,7,8,9,20,21,22]",Benny has number0 blue marbles . Keith has number1 times more blue marbles than Benny .,How many blue marbles does Keith have ?,,[],1505,"Let's start by finding out how many blue marbles Keith has compared to Benny. We know that Keith has 5 times more blue marbles than Benny.

To find the number of blue marbles Keith has, we can multiply the number of blue marbles Benny has by 5.

Benny has 6 blue marbles, so we can calculate Keith's number of blue marbles as follows:

$ Keith = 6 \times 5 $

Simplifying the calculation:

$ Keith = 30 $

Therefore, Keith has 30 blue marbles.

#### Answer: 30"
536,"Luke was helping the cafeteria workers pick up lunch trays , but he could only carry number0 trays at a time . If he had to pick up number1 trays from one table and number2 trays from another , how many trips will he make ?","[4,20,16]","[/,+,number1,number2,number0]",9,"[15,16,17,27,28,29,33,34,35,42,43,44]","Luke was helping the cafeteria workers pick up lunch trays , but he could only carry number0 trays at a time . If he had to pick up number1 trays from one table and number2 trays from another ,",how many trips will he make ?,,[],1518,"To find out how many trips Luke will make, we need to divide the total number of trays by the number of trays he can carry at a time.

First, let's calculate the total number of trays: 20 trays + 16 trays = 36 trays.

Now, let's divide the total number of trays by the number of trays Luke can carry at a time: 36 trays ÷ 4 trays = 9 trips.

Therefore, Luke will make 9 trips to pick up all the trays.

#### Answer: 9"
537,"At the fair Adam bought number0 tickets . After riding the ferris wheel he had number1 tickets left . If each ticket cost number2 dollars , how much money did Adam spend riding the ferris wheel ?","[13,4,9]","[*,number2,-,number0,number1]",81,"[4,5,6,14,15,16,22,23,24,33,34,35]","At the fair Adam bought number0 tickets . After riding the ferris wheel he had number1 tickets left . If each ticket cost number2 dollars ,",how much money did Adam spend riding the ferris wheel ?,,[],1521,"Adam bought 13 tickets and had 4 tickets left after riding the ferris wheel. This means he used 13 - 4 = 9 tickets for the ferris wheel.
Since each ticket cost 9 dollars, Adam spent 9 * 9 = 81 dollars riding the ferris wheel.

####81"
538,"Christina just transferred number0 out of her bank account . As a result , the account now has number1 in it . How much money was in the account before the transfer ?","[69,26935]","[+,number0,number1]",27004,"[3,4,5,19,20,21,31,32,33]","Christina just transferred number0 out of her bank account . As a result , the account now has number1 in it .",How much money was in the account before the transfer ?,,[],1522,"Let's assume the amount of money in Christina's bank account before the transfer is represented by the variable $x$.

According to the problem, Christina transferred 69 out of her bank account. This means we need to subtract 69 from the original amount $x$. 

After the transfer, the account now has 26935 in it. So we can set up the equation:

$x - 69 = 26935$

To find the value of $x$, we need to isolate it on one side of the equation. We can do this by adding 69 to both sides:

$x - 69 + 69 = 26935 + 69$

Simplifying both sides gives us:

$x = 27004$

Therefore, there was $27004 in Christina's bank account before the transfer.

####27004"
540,"A new building needed number0 windows . The builder had already installed number1 of them . If it takes number2 hours to install each window , how long will it take him to install the rest ?","[14,8,8]","[*,number1,-,number0,number1]",48,"[3,4,5,11,12,13,18,19,20,33,34,35]","A new building needed number0 windows . The builder had already installed number1 of them . If it takes number2 hours to install each window ,",how long will it take him to install the rest ?,,[],1524,"To find out how long it will take the builder to install the remaining windows, we need to calculate the total time required to install all the windows and then subtract the time already spent.

The number of windows left to be installed can be found by subtracting the number of windows already installed from the total number of windows:
$14 - 8 = 6$.

Since it takes 8 hours to install each window, we can calculate the total time required to install all the windows by multiplying the number of remaining windows by the time taken for each window:
$6 \times 8 = 48$.

Therefore, it will take him 48 hours to install the rest of the windows.

#### 48"
541,"Ernest has number0 bananas that must be put away in boxes . Julie comes to help and brings number1 cookies to share with Ernest . If there are number2 boxes , how many bananas must go in each box ?","[45,3,5]","[/,number0,number2]",9,"[1,2,3,17,18,19,27,28,29,36,37,38]","Ernest has number0 bananas that must be put away in boxes . Julie comes to help and brings number1 cookies to share with Ernest . If there are number2 boxes ,",how many bananas must go in each box ?,,[],1527,"To find out how many bananas must go in each box, we need to divide the total number of bananas by the number of boxes.

Given:
Total number of bananas = 45
Number of boxes = 5

To find the number of bananas in each box, we can use the division operation:

$ \text{Number of bananas in each box} = \frac{\text{Total number of bananas}}{\text{Number of boxes}} $

Substituting the given values:

$ \text{Number of bananas in each box} = \frac{45}{5} $

Simplifying the division:

$ \text{Number of bananas in each box} = 9 $

Therefore, each box should contain 9 bananas.

#### 9"
543,For the school bake sale Katie made pastries . She baked number0 cupcakes and number1 cookies . After the sale she had number2 to take back home . How many pastries did she sell ?,"[7,5,8]","[-,+,number0,number1,number2]",4,"[10,11,12,13,14,15,21,22,23,31,32,33]",For the school bake sale Katie made pastries . She baked number0 cupcakes and number1 cookies . After the sale she had number2 to take back home .,How many pastries did she sell ?,,[],1541,"To find out how many pastries Katie sold, we need to subtract the number of pastries she took back home from the total number of pastries she baked.

Katie baked 7 cupcakes and 5 cookies, so the total number of pastries she made is $7 + 5 = 12$.

After the sale, she had 8 pastries left, so the number of pastries she sold is $12 - 8 = 4$.

Therefore, Katie sold 4 pastries.

####4"
544,"As part of a lesson on earthquakes , a science class is researching the movement of a nearby fault line . The fault line moved number0 inches during the past year and number1 inches the year before . How far did the fault line move in all ?","[1,25,5,25]","[+,number0,number1]","6,5","[24,25,26,31,32,33,44,45,46]","As part of a lesson on earthquakes , a science class is researching the movement of a nearby fault line . The fault line moved number0 inches during the past year and number1 inches the year before .",How far did the fault line move in all ?,,[],1544,"To find out how far the fault line moved in all, we need to add the distances it moved in the past two years.

The fault line moved 1 inch during the past year and 25 inches the year before. 

So, to find the total distance, we add these two distances together:

$1 + 25 = 26$

Therefore, the fault line moved a total of 26 inches. 

#### The fault line moved a total of 26 inches."
548,A store had number0 coloring books in stock . They ended up putting them on sale and getting rid of number1 of them . The put the ones they still had onto shelves with number2 on each shelf . How many shelves did they use ?,"[48,38,5]","[/,-,number0,number1,number2]",2,"[2,3,4,19,20,21,33,34,35,42,43,44]",A store had number0 coloring books in stock . They ended up putting them on sale and getting rid of number1 of them . The put the ones they still had onto shelves with number2 on each shelf .,How many shelves did they use ?,,[],1561,"To find the number of shelves used, we need to determine how many coloring books were left after getting rid of 38 of them. 

We can calculate this by subtracting 38 from the initial stock of 48 coloring books:

$48 - 38 = 10$

So, they had 10 coloring books left.

Next, we need to divide the number of remaining coloring books by the number of books placed on each shelf (which is 5) to find the number of shelves used:

$10 \div 5 = 2$

Therefore, they used 2 shelves in total.

#### 
2"
550,Janet has number0 apples . She finds another number1 . How many apples does Janet have in all ?,"[57,95]","[+,number0,number1]",152,"[1,2,3,7,8,9,15,16,17]",Janet has number0 apples . She finds another number1 .,How many apples does Janet have in all ?,,[],1563,"To find the total number of apples Janet has, we need to add the number of apples she already had (57) to the number of apples she found (95).

So, we can calculate it as follows:

$ 57 + 95 = 152 $

Therefore, Janet has a total of 152 apples.

#### 152"
551,There are number0 students making number1 stars each for the school wall . How many stars will they make all together ?,"[124,3]","[*,number0,number1]",372,"[1,2,3,4,5,6,18,19,20]",There are number0 students making number1 stars each for the school wall .,How many stars will they make all together ?,,[],1564,"To find the total number of stars that the students will make, we need to multiply the number of students by the number of stars each student makes.

Given:
Number of students = 124
Number of stars made by each student = 3

To find the total number of stars:
Total number of stars = Number of students * Number of stars each student makes
Total number of stars = 124 * 3

Calculating the above expression:
Total number of stars = 372

Therefore, the students will make a total of 372 stars all together.
####372"
556,For homework Nancy had number0 math problems and number1 spelling problems . If she can finish number2 problems in an hour how long will it take her to finish all the problems ?,"[17,15,8]","[/,+,number0,number1,number2]",4,"[3,4,5,7,8,9,15,16,17,29,30,31]",For homework Nancy had number0 math problems and number1 spelling problems . If she can finish number2 problems in an hour,how long will it take her to finish all the problems ?,,[],1573,"To find out how long it will take Nancy to finish all the problems, we need to determine the total number of problems she has and divide it by the number of problems she can finish in an hour.

Nancy has 17 math problems and 15 spelling problems, so the total number of problems she has is $17 + 15 = 32$.

If she can finish 8 problems in an hour, we can calculate how many hours it will take her to finish all the problems by dividing the total number of problems by the number of problems she can finish in an hour: $32 \div 8 = 4$.

Therefore, it will take Nancy 4 hours to finish all the problems. 

####4"
557,"There are number0 students in the class and number1 tickets . If the tickets are divided equally among the students , how many does each student get ?","[9,81]","[/,number1,number0]",9,"[1,2,3,7,8,9,24,25,26]","There are number0 students in the class and number1 tickets . If the tickets are divided equally among the students ,",how many does each student get ?,,[],1579,"To find out how many tickets each student gets, we need to divide the total number of tickets by the number of students.

Total number of tickets = 81
Number of students = 9

To divide the tickets equally among the students, we can use the division operation.

Tickets per student = Total number of tickets / Number of students

Tickets per student = 81 / 9

Now, let's perform the calculation:

Tickets per student = 9

####

Each student will get 9 tickets."
558,"Nancy , Melanie , Mary , and Alyssa each bought number0 baseball cards , which come in packs of number1 . How many packs of baseball cards do they have in all ?","[540,20]","[/,*,4.0,number0,number1]",108,"[9,10,11,20,21,22,31,32,33]","Nancy , Melanie , Mary , and Alyssa each bought number0 baseball cards , which come in packs of number1 .",How many packs of baseball cards do they have in all ?,,[],1584,"To find out how many packs of baseball cards they have in total, we need to divide the total number of baseball cards by the number of cards in each pack.

Given that Nancy, Melanie, Mary, and Alyssa each bought 540 baseball cards, and each pack contains 20 cards, we can calculate the total number of packs as follows:

Total number of baseball cards = 540 * 4
Number of packs = Total number of baseball cards / 20

Calculating the total number of baseball cards:
540 * 4 = 2160

Calculating the number of packs:
2160 / 20 = ####"
560,For the school bake sale Paige made pastries . She baked number0 cupcakes and number1 cookies . After the sale she had number2 to take back home . How many pastries did she sell ?,"[36,9,4]","[-,+,number0,number1,number2]",41,"[10,11,12,13,14,15,21,22,23,31,32,33]",For the school bake sale Paige made pastries . She baked number0 cupcakes and number1 cookies . After the sale she had number2 to take back home .,How many pastries did she sell ?,,[],1586,"To find out how many pastries Paige sold, we need to subtract the number of pastries she took back home from the total number of pastries she baked.

Paige baked 36 cupcakes and 9 cookies, so the total number of pastries she made is $36 + 9 = 45$.

After the sale, she had 4 pastries left, so the number of pastries she sold is $45 - 4 = 41$.

Therefore, Paige sold 41 pastries.

####"
563,"Carrie 's mom gave her number0 to go shopping . She bought a sweater for number1 , a T - shirt for number2 , and a pair of shoes for number3 . How much money does Carrie have left ?","[91,24,6,11]","[-,number0,+,+,number1,number2,number3]",50,"[5,6,7,16,17,18,24,25,26,33,34,35,40,41,42]","Carrie 's mom gave her number0 to go shopping . She bought a sweater for number1 , a T - shirt for number2 , and a pair of shoes for number3 .",How much money does Carrie have left ?,,[],1599,"To find out how much money Carrie has left, we need to subtract the total amount she spent from the amount her mom gave her.

Carrie's mom gave her $91.
She spent $24 on a sweater.
She spent $6 on a T-shirt.
She spent $11 on a pair of shoes.

To calculate how much money Carrie has left, we can subtract the total amount she spent from the amount her mom gave her:

$91 - ($24 + $6 + $11) = $91 - $41 = 50

Therefore, Carrie has $50 left. 
####"
564,Sam has number0 yellow and number1 green marbles . Joan took number2 of Sam 's yellow marbles . How many yellow marbles does Sam now have ?,"[86,20,25]","[-,number0,number2]",61,"[1,2,3,4,5,6,10,11,12,23,24,25]",Sam has number0 yellow and number1 green marbles . Joan took number2 of Sam 's yellow marbles .,How many yellow marbles does Sam now have ?,,[],1600,"Sam initially has 86 yellow marbles. Joan took 25 of Sam's yellow marbles. To find out how many yellow marbles Sam now has, we need to subtract the number of marbles Joan took from the initial number of yellow marbles Sam had.

Initial number of yellow marbles = 86
Number of yellow marbles Joan took = 25

To find the number of yellow marbles Sam now has, we subtract the number Joan took from the initial number:
$ 86 - 25 = 61 $

Therefore, Sam now has 61 yellow marbles.
####61"
569,"While making pastries , a bakery used number0 bag of wheat flour and number1 bag of white flour . How many bags of flour did the bakery use in all ?","[0.2,0.1]","[+,number0,number1]",0.3,"[6,7,8,12,13,14,27,28,29]","While making pastries , a bakery used number0 bag of wheat flour and number1 bag of white flour .",How many bags of flour did the bakery use in all ?,,[],1611,"To find the total number of bags of flour used by the bakery, we need to add the amount of wheat flour and the amount of white flour.

Given:
Amount of wheat flour used = 0.2 bag
Amount of white flour used = 0.1 bag

To find the total amount of flour used, we add these two amounts:

Total amount of flour used = Amount of wheat flour + Amount of white flour
Total amount of flour used = 0.2 bag + 0.1 bag

To add these two amounts, we can simply add the decimal numbers:

Total amount of flour used = 0.2 + 0.1

Adding the decimal numbers, we get:

Total amount of flour used = 0.3

Therefore, the bakery used a total of 0.3 bags of flour.

####"
570,"While playing a trivia game , Frank answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points , what was his final score ?","[3,2,3]","[*,number0,+,number0,number1]",15,"[7,8,9,15,16,17,28,29,30,34,35,36]","While playing a trivia game , Frank answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points ,",what was his final score ?,,[],1612,"In the first half, Frank answered 3 questions correctly, and in the second half, he answered 2 questions correctly. Each question is worth 3 points.

To find Frank's final score, we need to calculate the total number of points he earned.

In the first half, Frank earned 3 * 3 = 9 points.
In the second half, Frank earned 2 * 3 = 6 points.

To find his final score, we add the points from both halves: 9 + 6 = 15.

Therefore, Frank's final score is 15. 

####15"
571,Eric wants to split a collection of peanuts into groups of number0 . Eric has number1 peanuts . How many groups will be created ?,"[8,64]","[/,number1,number0]",8,"[10,11,12,14,15,16,21,22,23]",Eric wants to split a collection of peanuts into groups of number0 . Eric has number1 peanuts .,How many groups will be created ?,,[],1614,"To find the number of groups that will be created when Eric splits a collection of 64 peanuts into groups of 8, we can divide the total number of peanuts by the number of peanuts in each group.

Number of peanuts = 64
Number of peanuts in each group = 8

To find the number of groups, we divide the total number of peanuts by the number of peanuts in each group:

Number of groups = Number of peanuts / Number of peanuts in each group
Number of groups = 64 / 8

Now, let's calculate this division:

Number of groups = 8

Therefore, Eric will create 8 groups when he splits a collection of 64 peanuts into groups of 8.
####
8"
578,"Oliver had to wash number0 short sleeve shirts and number1 long sleeve shirts before school . If he had only washed number2 of them by the time school started , how many did he not wash ?","[39,47,20]","[-,+,number0,number1,number2]",66,"[3,4,5,8,9,10,20,21,22,33,34,35]","Oliver had to wash number0 short sleeve shirts and number1 long sleeve shirts before school . If he had only washed number2 of them by the time school started ,",how many did he not wash ?,,[],1645,"To find out how many shirts Oliver did not wash, we need to subtract the number of shirts he washed from the total number of shirts he had to wash.

The total number of short sleeve shirts and long sleeve shirts Oliver had to wash is 39 + 47 = 86 shirts.

If Oliver only washed 20 shirts by the time school started, then the number of shirts he did not wash is 86 - 20 = 66 shirts.

Therefore, Oliver did not wash 66 shirts. 

#### Answer: 66"
588,number0 beavers were working on their home . number1 went for a swim . How many beavers are still working on their home ?,"[2,1]","[-,number0,number1]",1,"[0,1,7,8,9,20,21,22]",number0 beavers were working on their home . number1 went for a swim .,How many beavers are still working on their home ?,,[],1669,"Let's break down the problem step by step:

1. We start with 2 beavers.
2. One of the beavers goes for a swim.
3. We need to determine how many beavers are still working on their home.

Since only one beaver went for a swim, the other beaver is still working on their home. Therefore, the answer is 1.

####1"
589,Hayley had number0 meatballs on her plate . Kirsten stole some of her meatballs . Now she has number1 meatballs on her plate . How many meatballs did Kirsten steal ?,"[25,11]","[-,number0,number1]",14,"[1,2,3,17,18,19,29,30,31]",Hayley had number0 meatballs on her plate . Kirsten stole some of her meatballs . Now she has number1 meatballs on her plate .,How many meatballs did Kirsten steal ?,,[],1673,"Let's assume that Kirsten stole x meatballs from Hayley's plate. 

Initially, Hayley had 25 meatballs on her plate. If Kirsten stole x meatballs, then the number of meatballs left on Hayley's plate would be 25 - x.

According to the problem, Hayley now has 11 meatballs on her plate. So we can set up the equation:

25 - x = 11

To find the value of x, we need to isolate it on one side of the equation. We can do this by subtracting 25 from both sides:

25 - x - 25 = 11 - 25
-x = -14

To solve for x, we multiply both sides of the equation by -1:

(-1)(-x) = (-1)(-14)
x = 14

Therefore, Kirsten stole 14 meatballs from Hayley's plate.

#### 
14"
594,"Jacques earns number0 dollars per hour . For each hour over number1 hours he earns number2 dollars per hour . If he works number3 hours in a week , what pay should he receive ?","[8,6,40,12,9,55,5]","[+,*,number0,number1,*,number2,-,number3,number1]","543,95","[1,2,3,10,11,12,14,15,16,22,23,24,31,32,33]","Jacques earns number0 dollars per hour . For each hour over number1 hours he earns number2 dollars per hour . If he works number3 hours in a week ,",what pay should he receive ?,,[],1687,"To calculate Jacques' pay, we need to consider two scenarios: the first 6 hours and the remaining hours.

For the first 6 hours, Jacques earns $8 per hour. So his pay for the first 6 hours is:
$8/hour * 6 hours = $48

For each hour over 6 hours, Jacques earns $40 per hour. Since he works a total of 12 hours in a week and the first 6 hours are already accounted for, he works an additional 12 - 6 = 6 hours at the higher rate.

So his pay for the remaining 6 hours is:
$40/hour * 6 hours = $240

To find his total pay, we add the pay for the first 6 hours and the pay for the remaining 6 hours:
$48 + $240 = $288

Therefore, Jacques should receive $288 in pay for working 12 hours in a week.

####288"
597,The Spurs basketball team has number0 players . Each player has number1 basketballs . How many basketballs do they have in all ?,"[22,11]","[*,number0,number1]",242,"[4,5,6,10,11,12,19,20,21]",The Spurs basketball team has number0 players . Each player has number1 basketballs .,How many basketballs do they have in all ?,,[],1693,"To find the total number of basketballs the Spurs basketball team has, we need to multiply the number of players by the number of basketballs each player has.

Given:
Number of players = 22
Number of basketballs per player = 11

To calculate the total number of basketballs:
Total basketballs = Number of players × Number of basketballs per player

Substituting the given values:
Total basketballs = 22 × 11

Calculating:
Total basketballs = 242

Therefore, the Spurs basketball team has a total of 242 basketballs.

####242"
598,"Maria was making baggies of cookies with number0 cookies in each bag . If she had number1 chocolate chip cookies and number2 oatmeal cookies , how many baggies could she make ?","[3,2,16]","[/,+,number1,number2,number0]",6,"[6,7,8,15,16,17,20,21,22,28,29,30]","Maria was making baggies of cookies with number0 cookies in each bag . If she had number1 chocolate chip cookies and number2 oatmeal cookies ,",how many baggies could she make ?,,[],1696,"To find out how many baggies Maria can make, we need to determine the total number of cookies she has and then divide that by the number of cookies in each bag.

First, let's calculate the total number of cookies Maria has by adding the number of chocolate chip cookies and oatmeal cookies together:

$ 2 + 16 = 18 $

So, Maria has a total of 18 cookies.

Next, we need to divide the total number of cookies by the number of cookies in each bag (which is 3):

$ \frac{18}{3} = 6 $

Therefore, Maria can make 6 baggies of cookies.

#### Answer: 6"
601,"Each child has number0 pencils . If there are number1 children , how many pencils are there in total ?","[6,2]","[*,number0,number1]",12,"[2,3,4,8,9,10,16,17,18]","Each child has number0 pencils . If there are number1 children ,",how many pencils are there in total ?,,[],1700,"Each child has 6 pencils. If there are 2 children, we can find the total number of pencils by multiplying the number of pencils per child (6) by the number of children (2).

$ 6 \times 2 = 12 $

Therefore, there are a total of 12 pencils. 

#### 12"
607,"I have number0 pencils . If I put number1 pencils in each pencil box , how many pencil boxes will I fill ?","[648,4]","[/,number0,number1]",162,"[1,2,3,7,8,9,19,20,21]","I have number0 pencils . If I put number1 pencils in each pencil box ,",how many pencil boxes will I fill ?,,[],1714,"To find out how many pencil boxes will be filled, we need to divide the total number of pencils by the number of pencils in each box.

Given:
Total number of pencils = 648
Number of pencils in each box = 4

To find the number of pencil boxes, we can use the division operation:

Number of pencil boxes = Total number of pencils ÷ Number of pencils in each box

Substituting the given values into the equation:

Number of pencil boxes = 648 ÷ 4

Performing the division:

Number of pencil boxes = 162

Therefore, you will fill 162 pencil boxes.

####162"
611,If Rose strolled for number0 hours at number1 miles per hour . How far did Rose go ?,"[4,2]","[*,number0,number1]",8,"[3,4,5,6,7,8,14,15,16]",If Rose strolled for number0 hours at number1 miles per hour .,How far did Rose go ?,,[],1723,"To find out how far Rose went, we can use the formula:

Distance = Speed × Time

Given that Rose strolled for 4 hours at a speed of 2 miles per hour, we can substitute these values into the formula:

Distance = 2 miles/hour × 4 hours

Now, let's calculate the distance:

Distance = 2 × 4 = 8 miles

Therefore, Rose went 8 miles.

####8"
617,Carol was playing a trivia game . In the first round she scored number0 points and in the second round she scored number1 points . In the last round she lost number2 points . How many points did she have at the end of the game ?,"[17,6,16]","[-,+,number0,number1,number2]",7,"[12,13,14,21,22,23,30,31,32,43,44,45]",Carol was playing a trivia game . In the first round she scored number0 points and in the second round she scored number1 points . In the last round she lost number2 points .,How many points did she have at the end of the game ?,,[],1737,"To find out how many points Carol had at the end of the game, we need to add up her scores from each round.

In the first round, Carol scored 17 points.
In the second round, she scored 6 points.
In the last round, she lost 16 points.

To calculate the total number of points Carol had at the end of the game, we can add her scores and subtract the points she lost:

$17 + 6 - 16 = 7$

Therefore, Carol had 7 points at the end of the game.

####7"
623,"In number0 , there were number1 students in Central High School . The number of students enrolled in number2 was number3 % less than in number4 . How many students were enrolled in number5 ?","[1986,1125,1987,4,1986,1987]","[*,number1,-,1.0,*,number3,0.01]",1080,"[0,1,2,3,4,5,6,7]","In number0 , there were number1 students in Central High School . The number of students enrolled in number2 was number3 % less than in number4 .",How many students were enrolled in number5 ?,,[],1758,"To solve this problem, we first need to find out what 4% of 1125 is. Then, we subtract that amount from 1125 to find out how many students were enrolled in 1987.

1. First, calculate 4% of 1125:

   $ 4/100 * 1125 = 45 $

2. Then, subtract this amount from 1125 to find the number of students in 1987:

   $ 1125 - 45 = 1080 $

So, #### 1080 ####"
627,"Christian and the junior ranger brought a bag of number0 nails as they visited every station assigned to the junior ranger . If they left exactly number1 nails in every station they visited , how many stations did Joline and the junior ranger visit ?","[140,7]","[/,number0,number1]",20,"[8,9,10,25,26,27,41,42,43]","Christian and the junior ranger brought a bag of number0 nails as they visited every station assigned to the junior ranger . If they left exactly number1 nails in every station they visited ,",how many stations did Joline and the junior ranger visit ?,,[],1765,"Let's assume the number of stations Joline and the junior ranger visited is represented by the variable $x$.

If they left exactly 7 nails in every station they visited, then the total number of nails they used can be calculated by multiplying the number of stations visited ($x$) by the number of nails left in each station (7). This can be expressed as $7x$.

Since they brought a bag of 140 nails, we can set up an equation to represent this situation:

$7x = 140$

To solve for $x$, we divide both sides of the equation by 7:

$\frac{7x}{7} = \frac{140}{7}$

Simplifying, we get:

$x = 20$

Therefore, Joline and the junior ranger visited 20 stations.

####"
631,For the school bake sale Wendy made pastries . She baked number0 cupcakes and number1 cookies . After the sale she had number2 to take back home . How many pastries did she sell ?,"[41,31,32]","[-,+,number0,number1,number2]",40,"[10,11,12,13,14,15,21,22,23,31,32,33]",For the school bake sale Wendy made pastries . She baked number0 cupcakes and number1 cookies . After the sale she had number2 to take back home .,How many pastries did she sell ?,,[],1776,"To find out how many pastries Wendy sold, we need to subtract the number of pastries she took back home from the total number of pastries she baked.

Wendy baked 41 cupcakes and 31 cookies, so the total number of pastries she baked is $41 + 31$.

After the sale, she had 32 pastries left, so the equation becomes: $(41 + 31) - 32$.

Calculating this expression gives us: $72 - 32$.

Therefore, Wendy sold a total of #### pastries."
636,"Shannon , Brenda ’ s neighbor , joined Brenda in making bracelets . She brought number0 heart - shaped stones and wanted to have number1 of this type of stone in each of the bracelet she makes . How many bracelets with heart - shaped stones can Shannon make ?","[48,8]","[/,number0,number1]",6,"[13,14,15,22,23,24,45,46,47]","Shannon , Brenda ’ s neighbor , joined Brenda in making bracelets . She brought number0 heart - shaped stones and wanted to have number1 of this type of stone in each of the bracelet she makes .",How many bracelets with heart - shaped stones can Shannon make ?,,[],1793,"To find out how many bracelets Shannon can make, we need to divide the total number of heart-shaped stones she brought by the number of stones needed for each bracelet. 

Let's denote the total number of heart-shaped stones as T and the number of stones needed for each bracelet as N.

T = 48 (since Shannon brought 48 heart-shaped stones)
N = 8 (since Shannon wants to have 8 stones in each bracelet)

To find the number of bracelets Shannon can make, we can use the equation:

Number of Bracelets = T / N

Plugging in the values, we get:

Number of Bracelets = 48 / 8

Now let's do the calculation:

Number of Bracelets = 6

Therefore, Shannon can make 6 bracelets with the heart-shaped stones she brought."
639,"There were number0 parents in the program and number1 pupils , too . How many people were present in the program ?","[105,698]","[+,number0,number1]",803,"[1,2,3,7,8,9,18,19,20]","There were number0 parents in the program and number1 pupils , too .",How many people were present in the program ?,,[],1796,"To find out how many people were present in the program, we simply add the number of parents and the number of pupils. This is because every parent is also a person in the program, and every pupil is also a person in the program. Therefore, we need to add the two quantities together to get the total number of people present in the program.

Here's the calculation:

$ 105 (parents) + 698 (pupils) = 803 (people) $

So, there were 803 people present in the program.

#### 803"
641,"Mike had number0 video games but number1 of them were n't working . If he wanted to sell the working games for number2 each , how much money could he earn ?","[16,8,7]","[*,number2,-,number0,number1]",56,"[1,2,3,5,6,7,22,23,24,29,30,31]","Mike had number0 video games but number1 of them were n't working . If he wanted to sell the working games for number2 each ,",how much money could he earn ?,,[],1804,"To find out how much money Mike could earn, we need to calculate the number of working video games he has and then multiply it by the selling price per game.

Given:
- Total number of video games = 16
- Number of non-working games = 8
- Selling price per game = $7

To find the number of working games, we subtract the number of non-working games from the total number of games:
Number of working games = Total number of games - Number of non-working games
Number of working games = 16 - 8

Now, let's calculate the number of working games:
Number of working games = 8

To find out how much money Mike could earn, we multiply the number of working games by the selling price per game:
Total earnings = Number of working games * Selling price per game
Total earnings = 8 * $7

Now, let's calculate the total earnings:
Total earnings = $56

#### 
56"
643,"Alyssa bought some toys . She bought a football for number0 , and spent number1 on marbles . In total , how much did Alyssa spend on toys ?","[5,71,6,59]","[+,number0,number1]","12,3","[10,11,12,15,16,17,27,28,29]","Alyssa bought some toys . She bought a football for number0 , and spent number1 on marbles . In total ,",how much did Alyssa spend on toys ?,,[],1808,"To find out how much Alyssa spent on toys, we need to add the cost of the football and the cost of the marbles.

The cost of the football is given as 5.

The cost of the marbles is given as 71.

To find the total cost, we add these two amounts together:

$5 + 71 = 76$

Therefore, Alyssa spent a total of 76 on toys.

####76"
647,"A physician 's assistant measures a child and finds that his h8 is number0 inches . At his last visit to the doctor 's office , the child was number1 inches tall . How much did the child grow , in inches ?","[41,5,38,5]","[-,number0,number1]",3,"[12,13,14,28,29,30,39,40,41]","A physician 's assistant measures a child and finds that his h8 is number0 inches . At his last visit to the doctor 's office , the child was number1 inches tall .","How much did the child grow , in inches ?",,[],1815,"To find out how much the child grew, we need to subtract his previous height from his current height.

Current height = 41 inches
Previous height = 5 inches

To calculate the growth, we subtract the previous height from the current height:

$ Growth = \text{Current height} - \text{Previous height} $

$ Growth = 41 - 5 $

$ Growth = 36 $

Therefore, the child grew by 36 inches.

####36"
